"","Tanah","Bangunan","Harga","ratio","cluster","HargaB","HargaT","Int","Prediksi","Error","ErrorCluster"
"1",90,45,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,0.138861610438694,1
"2",90,45,560000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,-1.64933234689057,1
"3",95,60,570000000,0.631578947368421,4,2813558.76192406,743889.182589054,357203568.137815,596686566.199219,4.68185371916123,1
"4",200,45,650000000,0.225,2,2813558.76192406,743889.182589054,357203568.137815,632591548.942209,-2.67822323966019,1
"5",200,90,725000000,0.45,3,2813558.76192406,743889.182589054,357203568.137815,759201693.228791,4.71747492810915,1
"6",90,45,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,0.138861610438694,1
"7",100,45,575000000,0.45,3,2813558.76192406,743889.182589054,357203568.137815,558202630.683303,-2.92128162029507,1
"8",87,50,560000000,0.574712643678161,3,2813558.76192406,743889.182589054,357203568.137815,562599865.119266,0.464261628440342,1
"9",91,50,550000000,0.549450549450549,3,2813558.76192406,743889.182589054,357203568.137815,565575421.849622,2.83189488174948,1
"10",93,45,575000000,0.483870967741935,3,2813558.76192406,743889.182589054,357203568.137815,552995406.40518,-3.8268858425774,1
"11",90,45,535000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,2.94649324437623,1
"12",60,96,685000000,1.6,6,2813558.76192406,743889.182589054,357203568.137815,671938560.237868,-1.90677952731851,1
"13",36,87,630000000,2.41666666666667,6,2813558.76192406,743889.182589054,357203568.137815,628763190.998414,-0.196318889140591,1
"14",50,120,720000000,2.4,6,2813558.76192406,743889.182589054,357203568.137815,732025078.698155,1.6701498191882,1
"15",90,62,600000000,0.688888888888889,4,2813558.76192406,743889.182589054,357203568.137815,598594237.810122,-0.234293698313038,1
"16",77,38,520000000,0.493506493506494,3,2813558.76192406,743889.182589054,357203568.137815,521398268.150287,0.268897721208976,1
"17",88,38,550000000,0.431818181818182,3,2813558.76192406,743889.182589054,357203568.137815,529581049.158766,-3.71253651658795,1
"18",77,38,520000000,0.493506493506494,3,2813558.76192406,743889.182589054,357203568.137815,521398268.150287,0.268897721208976,1
"19",88,38,550000000,0.431818181818182,3,2813558.76192406,743889.182589054,357203568.137815,529581049.158766,-3.71253651658795,1
"20",93,45,575000000,0.483870967741935,3,2813558.76192406,743889.182589054,357203568.137815,552995406.40518,-3.8268858425774,1
"21",97,50,550000000,0.515463917525773,3,2813558.76192406,743889.182589054,357203568.137815,570038756.945156,3.64341035366481,1
"22",82,50,585000000,0.609756097560976,4,2813558.76192406,743889.182589054,357203568.137815,558880419.206321,-4.46488560575716,1
"23",87,50,570000000,0.574712643678161,3,2813558.76192406,743889.182589054,357203568.137815,562599865.119266,-1.29826927732177,1
"24",90,45,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,0.138861610438694,1
"25",90,45,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,0.138861610438694,1
"26",98,45,550000000,0.459183673469388,3,2813558.76192406,743889.182589054,357203568.137815,556714852.318125,1.22088223965914,1
"27",95,45,560000000,0.473684210526316,3,2813558.76192406,743889.182589054,357203568.137815,554483184.770358,-0.98514557672177,1
"28",100,45,550000000,0.45,3,2813558.76192406,743889.182589054,357203568.137815,558202630.683303,1.49138739696425,1
"29",90,45,535000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,2.94649324437623,1
"30",104,45,550000000,0.432692307692308,3,2813558.76192406,743889.182589054,357203568.137815,561178187.41366,2.03239771157447,1
"31",100,60,600000000,0.6,4,2813558.76192406,743889.182589054,357203568.137815,600406012.112164,0.0676686853607098,1
"32",90,45,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,550763738.857413,0.138861610438694,1
"33",104,45,550000000,0.432692307692308,3,2813558.76192406,743889.182589054,357203568.137815,561178187.41366,2.03239771157447,1
"34",120,136,830000000,1.13333333333333,6,2813558.76192406,743889.182589054,357203568.137815,829114261.670174,-0.106715461424848,1
"35",130,100,775000000,0.769230769230769,4,2813558.76192406,743889.182589054,357203568.137815,735265038.066798,-5.12709186234862,1
"36",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"37",110,150,850000000,1.36363636363636,6,2813558.76192406,743889.182589054,357203568.137815,861065192.51122,1.30178735426117,1
"38",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"39",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"40",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"41",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"42",95,70,600000000,0.736842105263158,4,2813558.76192406,743889.182589054,357203568.137815,624822153.81846,4.13702563640992,1
"43",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"44",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"45",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"46",90,51,550000000,0.566666666666667,3,2813558.76192406,743889.182589054,357203568.137815,567645091.428957,3.20819844162856,1
"47",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"48",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"49",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"50",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"51",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"52",90,36,526000000,0.4,3,2813558.76192406,743889.182589054,357203568.137815,525441710.000096,-0.106138783251673,1
"53",130,100,775000000,0.769230769230769,4,2813558.76192406,743889.182589054,357203568.137815,735265038.066798,-5.12709186234862,1
"54",100,50,550000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,572270424.492924,4.04916808962248,1
"55",100,50,575000000,0.5,3,2813558.76192406,743889.182589054,357203568.137815,572270424.492924,-0.474708783839371,1
"56",104,45,550000000,0.432692307692308,3,2813558.76192406,743889.182589054,357203568.137815,561178187.41366,2.03239771157447,1
